Rating,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys
83,3,3,79,76,75,85,89,90,85,69,91,76,84,67,84,79,83,81,94,76,90,80,79,54,72,65,66,49,49,54,56
83,5,4,85,84,30,31,32,56,83,84,49,74,72,78,83,70,86,80,80,56,82,84,67,55,71,81,73,81,57,66,70
83,3,3,77,70,87,87,88,76,88,64,85,68,66,79,80,74,79,79,88,74,73,75,75,73,68,46,60,66,58,66,54
83,2,1,24,16,13,12,11,42,79,11,21,31,62,14,26,32,52,58,36,80,41,53,38,12,28,12,12,17,15,40,12
83,3,2,63,58,83,84,85,78,84,45,83,56,77,28,65,61,69,66,68,78,51,62,82,86,63,56,66,48,27,53,47
80,4,3,77,78,16,22,26,59,79,83,23,63,81,65,64,36,81,84,65,82,78,84,81,73,83,83,76,61,46,67,74
81,4,2,60,45,82,81,82,80,81,38,83,59,82,42,66,62,33,34,63,85,46,44,80,90,61,46,33,44,31,52,55
80,3,2,67,48,80,80,83,82,75,53,78,57,74,54,62,56,69,77,72,85,52,48,86,77,56,47,49,59,60,61,47
79,3,3,78,78,74,76,77,70,82,70,70,65,72,78,74,72,76,82,90,78,58,69,68,70,76,60,74,63,71,64,50
78,4,4,80,84,63,64,70,42,74,76,69,71,65,74,71,69,86,84,84,80,83,80,66,69,75,70,68,75,61,71,63
76,5,5,80,83,21,22,20,32,72,66,21,67,42,71,73,70,89,87,62,46,83,92,44,39,69,66,62,64,52,54,52
76,3,1,32,11,13,20,20,28,70,11,24,42,53,13,22,32,46,44,20,72,58,60,75,12,38,20,18,11,14,37,11
75,3,2,69,63,73,74,77,64,73,44,76,53,68,64,75,72,77,79,75,76,63,66,77,69,63,41,56,63,59,48,52
73,3,3,77,78,43,44,48,34,66,68,52,66,64,63,68,65,86,79,75,70,62,85,69,66,75,64,66,60,54,67,55
71,3,2,73,70,66,66,69,65,69,54,69,72,71,42,75,70,72,68,68,74,58,76,71,68,71,41,67,51,38,49,29
70,2,2,66,68,69,74,69,65,66,59,65,39,55,68,62,55,77,78,78,64,68,65,65,51,68,32,51,41,35,50,34
69,3,3,76,73,24,22,15,31,54,64,22,63,52,54,71,58,78,75,65,68,70,73,69,62,68,69,59,54,42,71,67
68,4,2,70,68,64,61,67,52,55,68,62,67,71,36,75,65,69,73,76,78,71,62,60,57,51,61,47,31,31,45,31
63,3,2,56,64,62,66,64,57,56,54,63,38,37,60,46,43,77,79,62,64,78,63,61,51,32,33,35,42,37,49,36
58,3,3,55,56,26,31,34,41,45,53,32,61,56,50,58,53,72,66,54,31,67,68,34,31,61,54,58,50,52,60,43
58,3,3,60,61,34,51,52,46,48,48,41,65,62,53,61,57,62,65,56,34,68,71,34,31,52,47,51,54,52,50,48
58,2,1,27,20,13,17,19,20,56,11,20,23,28,20,29,26,41,45,25,51,63,33,55,21,26,15,16,19,12,25,19
58,3,2,39,33,58,57,58,50,56,27,59,37,50,38,43,38,54,48,58,62,48,42,70,63,51,27,22,36,35,45,35
57,3,2,49,46,52,55,57,51,54,34,56,36,48,48,49,46,76,75,52,63,62,51,64,56,46,32,31,48,46,42,34
55,2,2,48,28,45,55,57,56,41,29,52,24,36,34,49,47,61,64,61,65,57,48,63,62,37,25,22,30,21,36,26
52,3,1,24,15,17,16,13,25,53,13,23,20,29,15,22,18,45,45,34,61,60,34,58,17,21,12,14,18,13,28,12
82,3,1,30,12,10,10,12,36,75,12,21,38,70,10,27,36,39,45,34,71,53,58,80,11,29,12,10,11,12,26,10
81,3,3,79,72,36,32,34,78,76,80,32,64,67,53,75,66,64,65,65,88,57,67,79,83,85,81,77,68,69,80,81
79,3,4,82,81,33,42,48,63,73,75,32,78,77,74,80,73,76,72,69,59,68,83,70,57,77,76,78,81,77,73,74
78,3,2,63,40,80,75,80,82,64,33,74,49,73,51,75,62,61,66,63,87,44,55,76,78,56,39,42,51,42,52,44
76,3,2,74,65,71,75,78,76,78,66,81,72,72,63,78,76,66,66,87,76,69,62,79,71,75,59,67,57,43,60,62
75,3,2,73,68,75,77,79,83,66,54,72,54,68,70,73,65,58,70,75,74,67,66,71,68,52,47,56,59,49,54,49
75,4,3,80,78,30,20,36,60,74,74,39,73,71,65,74,70,77,78,70,65,68,77,56,55,76,72,70,69,66,65,74
75,4,3,72,72,70,74,74,76,72,63,73,66,73,71,71,70,85,79,81,59,84,83,72,56,72,45,58,57,60,60,59
75,3,3,77,76,42,37,26,36,71,70,46,74,68,78,72,73,74,72,75,62,74,71,42,62,74,66,73,80,74,68,70
74,3,2,70,65,16,23,39,66,64,74,36,42,46,37,61,50,68,76,74,90,50,57,81,84,76,75,68,50,60,66,67
74,3,3,73,72,39,42,49,77,79,78,36,69,77,70,69,59,71,72,87,77,63,67,83,79,79,76,69,66,57,82,73
74,3,2,72,69,63,72,75,82,71,55,75,73,76,56,75,72,70,71,80,64,72,70,59,45,70,60,71,67,66,66,40
74,3,2,72,62,78,73,78,80,67,56,75,52,58,72,67,62,73,74,80,74,66,67,68,62,61,44,53,64,51,55,59
74,2,1,28,14,15,14,15,43,73,12,19,45,41,16,26,34,50,47,30,76,47,47,72,12,24,14,15,15,11,35,15
73,3,4,77,82,20,16,23,47,66,69,27,43,69,73,70,52,92,93,61,80,81,80,73,40,71,64,49,54,42,47,47
73,3,2,58,30,76,73,77,58,63,24,72,29,50,28,59,50,63,64,63,78,68,56,75,73,33,24,28,31,22,21,20
73,3,2,64,55,75,70,74,72,67,40,73,60,68,35,59,61,66,65,67,73,50,62,68,76,45,36,32,41,32,37,29
73,3,2,69,74,73,74,76,62,65,64,70,53,62,66,68,59,75,73,85,82,50,71,72,68,63,50,56,67,57,50,34
72,3,3,73,76,52,54,53,61,64,71,57,71,74,68,78,75,68,67,72,57,74,78,33,47,67,59,66,67,67,66,59
71,3,2,74,70,26,18,23,56,66,72,54,56,67,58,65,58,77,74,67,63,53,70,60,68,67,74,62,67,38,69,56
71,4,3,72,68,60,66,67,81,65,59,64,68,70,62,74,72,69,72,76,84,67,65,74,64,84,63,75,36,56,57,64
71,3,2,73,59,68,65,68,73,66,64,65,72,71,72,74,70,66,65,71,71,70,64,73,58,75,62,70,59,68,77,55
71,3,1,23,10,16,18,14,12,66,10,15,32,21,10,34,12,33,43,29,59,36,44,59,13,22,10,12,10,11,18,19
65,3,2,66,65,66,65,65,54,54,60,62,49,56,64,54,49,72,74,76,59,67,60,60,54,34,49,33,34,32,43,36
64,3,2,55,26,64,64,65,60,63,27,65,56,63,24,38,28,65,68,63,64,67,38,74,67,40,25,25,28,22,36,26
61,3,3,61,56,49,54,56,64,55,55,46,55,47,43,77,63,69,65,57,52,78,50,58,56,70,39,43,47,46,54,43
60,3,2,57,49,14,18,22,35,51,53,22,45,54,34,50,33,81,80,57,63,73,60,60,56,55,67,51,41,31,51,44
59,3,2,48,42,60,60,63,57,54,24,59,31,39,46,57,47,64,66,62,71,61,57,80,58,41,19,23,38,27,37,25
57,3,2,36,70,57,67,68,56,59,46,61,39,38,45,31,30,61,56,55,45,43,59,58,51,32,37,29,35,36,45,36
53,3,2,53,48,41,53,47,59,56,51,44,44,40,40,61,57,68,66,64,48,73,50,57,51,51,28,42,33,40,44,39
53,3,2,41,56,46,59,55,51,51,50,56,37,38,47,29,29,65,61,58,49,72,59,61,45,28,25,26,31,30,34,28
52,3,2,28,22,52,57,62,42,43,29,48,26,40,24,32,24,58,55,64,56,67,45,67,47,42,26,22,28,26,33,27
51,3,2,44,47,33,50,48,54,50,54,40,47,41,39,59,55,64,65,60,45,80,68,55,50,53,31,34,41,39,39,42
82,2,3,84,84,61,65,63,83,80,80,61,85,80,73,84,83,78,73,82,66,87,83,67,58,75,64,73,80,72,65,64
77,3,4,78,82,38,35,40,55,76,74,51,70,77,73,74,64,87,86,71,58,69,85,68,66,73,73,71,68,74,75,70
76,3,3,75,73,20,25,39,73,70,77,40,71,78,52,70,60,93,90,77,81,79,81,66,62,69,79,64,62,45,75,65
76,3,1,18,14,13,20,20,38,72,17,25,40,65,12,25,34,37,39,31,69,40,40,73,11,21,11,15,13,19,21,13
75,3,2,68,54,74,73,79,74,69,12,72,35,74,40,68,60,67,53,68,81,70,56,71,71,47,24,16,22,22,20,31
75,5,3,73,72,56,58,70,84,71,68,71,75,71,62,80,75,69,69,77,74,76,76,70,49,76,70,75,64,70,68,63
75,4,3,74,72,62,62,68,68,69,65,65,76,73,68,82,76,64,62,80,69,73,63,71,59,67,63,65,61,68,67,55
74,3,3,73,71,21,17,22,60,68,78,25,65,70,49,67,52,85,82,71,76,69,70,77,66,68,77,67,68,57,72,70
74,3,2,72,71,71,72,76,51,66,69,69,72,60,74,73,68,79,78,79,72,72,73,78,64,68,48,46,67,68,72,32
74,4,2,73,69,74,75,77,73,67,58,71,62,69,75,73,66,68,70,76,77,60,58,55,68,64,25,62,51,61,44,26
74,2,3,72,77,22,19,27,50,70,70,36,56,61,63,66,47,88,92,73,75,71,78,72,63,75,75,58,69,42,69,64
73,3,3,71,66,66,68,68,76,69,77,71,73,77,68,73,71,66,64,77,64,72,65,67,61,71,65,73,57,57,61,64
73,2,1,27,19,20,18,11,44,72,16,22,63,61,19,28,25,47,49,41,72,42,50,73,18,17,18,14,27,21,41,32
72,4,3,71,76,53,37,43,65,62,67,35,67,68,70,68,52,89,91,73,47,92,92,61,25,60,67,69,70,67,56,43
72,3,3,72,74,70,70,72,62,72,59,70,64,71,69,69,61,78,76,74,68,69,75,53,56,69,43,68,59,66,48,40
72,3,4,72,72,16,29,27,31,64,63,60,71,64,71,72,65,79,84,76,56,60,79,48,43,69,69,66,70,75,61,49
72,4,4,73,77,30,31,44,60,60,70,37,67,66,70,68,59,75,74,78,66,66,84,63,66,67,68,66,60,69,64,49
71,3,2,65,69,68,70,71,73,67,57,70,54,55,70,65,59,78,78,79,80,54,73,64,63,41,35,30,45,37,32,30
71,4,3,74,77,45,53,55,50,64,67,46,54,62,66,65,56,86,86,69,71,80,75,60,35,79,65,68,65,24,57,50
70,4,3,76,75,61,65,66,79,69,55,66,66,70,57,75,68,79,74,79,63,82,79,60,47,60,56,57,48,57,45,44
69,3,2,63,59,72,77,73,52,59,52,63,55,72,63,60,48,64,62,85,72,80,67,72,53,47,39,40,44,66,39,43
68,2,3,56,74,14,17,15,33,52,66,18,47,45,29,45,33,85,84,53,74,65,74,70,67,76,71,76,34,31,75,47
65,3,2,54,60,62,64,68,55,54,35,60,34,45,37,63,52,68,55,56,74,55,57,61,69,26,30,28,29,30,39,21
65,3,2,56,55,53,58,60,70,62,59,62,50,40,77,62,60,81,83,79,62,75,75,64,35,40,42,49,63,27,40,23
64,3,1,26,12,20,11,11,28,65,13,28,19,33,15,35,34,42,42,40,58,44,48,48,13,22,11,15,14,12,27,15
60,2,2,39,37,59,66,67,48,49,27,59,33,49,37,34,36,55,62,61,64,62,40,72,63,43,30,26,29,36,45,37
59,2,2,46,52,53,52,56,55,52,57,53,36,38,64,42,32,80,85,78,64,72,67,62,54,33,35,37,42,43,41,35
59,3,1,26,28,12,19,11,35,50,5,12,41,39,15,21,19,33,36,35,51,52,45,58,25,35,14,24,16,29,28,23
56,2,2,47,34,51,59,60,57,51,25,58,33,52,33,34,29,62,58,53,57,62,44,61,54,41,22,22,33,34,49,31
56,3,2,56,50,29,23,26,59,50,56,18,49,49,33,48,28,49,55,61,68,67,50,63,60,57,56,50,38,28,55,50
54,2,1,11,9,4,11,16,22,37,6,15,39,44,16,22,21,33,27,28,25,41,31,66,16,19,7,11,16,9,17,7
54,2,1,40,12,9,11,22,40,50,4,9,32,40,11,52,40,30,26,41,64,39,40,52,14,17,8,5,12,11,11,9
54,2,1,21,12,18,20,15,26,48,8,26,11,24,20,23,27,46,40,26,54,58,30,58,16,23,13,16,12,13,32,21
79,3,2,65,59,80,78,81,64,70,23,81,52,75,51,73,70,72,67,79,84,59,46,80,81,54,41,43,32,25,48,30
78,3,3,78,74,74,71,74,81,78,72,81,80,76,72,80,78,71,66,72,66,78,74,71,62,76,66,75,70,73,69,64
79,3,1,22,14,15,13,15,31,71,12,17,44,56,13,28,31,52,50,36,62,48,54,69,14,14,12,12,15,13,24,12
76,4,3,75,75,62,71,68,51,73,70,58,74,73,80,71,75,84,79,80,69,75,77,75,53,75,66,74,81,78,65,62
76,3,3,69,70,20,17,13,61,74,79,24,67,69,59,66,51,91,91,79,79,76,72,70,65,80,77,65,48,39,74,68
75,3,2,72,69,70,74,74,74,76,60,74,60,74,75,71,61,77,76,83,70,65,69,77,69,72,49,68,62,40,49,75
75,3,3,74,72,62,74,74,92,71,72,72,74,76,78,74,74,55,55,87,74,72,68,71,63,72,64,73,70,75,73,61
74,3,3,73,68,65,65,70,63,70,63,73,72,71,57,77,76,67,69,81,71,63,70,71,62,68,66,69,59,58,51,65
74,3,2,65,63,75,75,72,68,68,30,73,50,69,67,61,65,69,69,79,78,73,66,91,72,60,27,39,38,31,36,29
73,3,3,75,77,45,49,50,63,69,67,49,70,68,74,69,58,80,77,74,72,73,72,58,56,84,68,74,78,78,57,70
73,3,2,77,59,61,64,66,49,76,54,70,76,79,76,76,79,70,63,75,60,79,73,63,44,62,47,57,64,75,55,48
73,3,2,73,66,42,24,29,73,68,74,42,67,68,58,67,57,55,65,79,82,53,55,85,78,75,74,63,47,46,74,67
72,4,2,73,69,33,39,46,85,68,72,35,59,67,65,64,54,68,69,78,77,56,70,81,75,73,72,65,59,56,72,65
72,4,4,73,75,56,59,63,47,68,69,59,70,70,72,69,68,66,68,88,71,64,78,32,52,68,69,70,69,68,71,68
72,3,3,72,74,62,60,64,42,65,69,65,72,69,70,71,68,73,69,84,70,78,74,72,63,69,69,66,62,65,62,58
72,5,3,68,66,72,73,72,72,74,58,73,64,61,70,69,68,67,69,77,72,58,66,66,62,61,61,52,69,55,62,66
72,3,2,68,70,68,69,66,83,69,59,74,70,74,68,76,75,68,66,83,78,68,63,78,64,74,65,67,61,62,56,66
71,4,2,65,58,70,71,75,65,61,18,69,33,67,29,62,60,67,68,68,75,63,62,72,72,33,21,23,27,57,34,17
71,3,2,73,66,75,78,76,88,60,52,68,48,67,66,67,62,71,65,62,71,69,67,65,62,35,43,32,34,26,47,30
70,2,3,67,69,60,72,63,69,54,66,66,60,68,64,62,46,87,91,88,74,62,72,60,53,49,47,44,49,43,51,39
70,3,1,31,18,11,20,19,36,74,14,23,42,64,20,21,40,40,42,29,70,47,38,70,10,25,19,20,19,12,13,20
66,2,2,51,47,65,67,66,70,57,48,64,30,65,23,45,37,53,54,34,78,51,60,80,65,56,14,25,35,32,31,16
64,3,1,24,13,15,14,15,36,52,13,17,22,37,11,32,35,50,45,32,52,45,29,59,11,36,14,14,11,12,22,14
60,3,2,60,59,21,25,23,60,47,59,16,51,56,37,44,38,76,80,59,76,58,62,60,59,49,62,53,36,29,50,41
58,2,2,40,38,53,68,65,50,56,24,55,37,42,32,58,46,55,53,58,56,54,47,62,56,37,28,28,31,28,35,34
58,2,3,54,57,65,61,70,63,56,36,56,51,45,52,69,66,56,62,50,56,62,56,63,55,56,32,41,49,45,41,36
55,2,3,56,55,30,23,24,35,34,51,21,48,50,54,47,44,73,75,59,48,75,70,49,42,50,49,39,44,39,45,47
54,2,2,44,46,11,14,15,31,50,49,17,43,45,28,48,30,91,90,66,56,71,72,59,46,52,55,48,36,30,51,35
54,2,1,24,18,17,17,16,20,47,9,9,21,19,13,31,20,39,40,30,42,54,33,41,15,23,13,16,17,17,29,16
53,3,4,52,50,18,15,11,32,47,48,17,48,46,30,47,30,50,55,53,48,85,84,68,56,47,64,51,36,31,62,41
53,2,2,30,38,49,58,56,51,45,22,51,34,41,30,47,29,64,55,56,52,53,43,69,55,36,25,19,22,23,38,25
53,2,2,42,56,45,56,54,56,54,44,53,31,34,48,31,26,69,67,57,50,69,59,55,45,25,26,22,30,30,35,24
51,2,2,55,54,23,29,31,28,31,49,16,47,46,44,45,46,67,68,52,49,70,53,40,33,59,42,35,46,33,45,39
84,3,1,17,15,10,13,15,37,81,11,23,55,63,14,37,28,53,43,31,61,36,52,74,13,24,13,11,13,12,11,13
81,2,2,61,50,78,81,84,85,72,32,81,49,73,60,75,66,55,68,72,90,55,61,82,71,51,23,38,50,30,40,20
81,4,3,80,72,25,18,30,65,71,76,29,73,78,58,72,48,75,79,77,90,48,74,82,86,85,79,76,60,67,77,74
81,3,4,76,75,23,21,24,57,77,81,48,71,76,61,75,60,87,86,73,74,65,77,89,80,78,80,77,66,51,78,71
80,3,4,86,87,36,34,30,68,73,73,23,72,75,78,71,63,89,89,78,72,82,86,50,43,75,74,60,54,51,66,51
80,4,3,82,71,72,73,75,77,78,70,77,78,76,72,81,78,66,68,77,68,77,72,70,69,78,70,76,77,77,78,73
79,3,2,66,38,80,78,80,73,77,36,80,55,80,30,63,65,49,54,74,82,56,50,72,85,52,40,32,30,29,30,29
78,3,3,79,66,74,70,74,86,77,71,78,71,78,66,78,74,67,64,85,73,78,75,61,66,65,56,61,54,61,67,51
77,4,3,78,82,32,27,29,43,69,70,21,71,68,77,75,67,86,85,69,57,71,80,48,52,82,74,78,71,76,83,59
76,2,2,72,74,73,79,74,79,73,73,67,64,65,77,72,70,83,79,75,73,74,78,89,74,65,43,54,75,69,49,43
76,2,2,58,50,77,80,79,73,73,45,74,50,69,45,61,60,55,56,75,76,53,51,74,78,40,29,29,33,31,43,28
76,2,3,75,76,58,50,54,72,72,76,48,76,71,77,76,74,72,74,74,66,83,74,73,41,77,69,74,76,78,73,70
75,2,3,72,63,75,68,71,85,71,64,69,67,70,60,75,76,62,65,89,76,60,60,65,70,75,54,72,62,75,60,42
75,3,2,67,64,77,77,78,74,73,64,77,68,73,73,70,69,68,69,77,78,63,66,66,75,68,46,63,43,34,40,33
75,2,3,71,74,67,75,76,73,76,74,67,64,65,62,73,74,89,88,85,65,78,77,86,64,70,61,64,38,61,46,53
75,3,1,12,8,15,13,18,21,61,14,22,58,48,11,12,13,40,41,29,68,51,50,41,14,34,12,10,12,11,17,10
75,3,2,72,61,73,72,76,83,74,69,77,68,77,63,74,71,63,57,71,75,72,62,70,70,78,58,65,65,56,61,73
74,3,2,73,68,19,20,28,69,72,68,18,60,65,63,63,57,69,73,74,84,53,57,70,74,79,76,69,53,69,75,62
74,2,3,73,63,72,65,71,70,76,67,72,75,78,68,76,70,62,59,84,78,72,63,79,72,70,62,67,69,53,71,53
74,3,2,55,28,75,76,75,85,72,33,71,45,56,51,51,57,39,45,72,84,41,30,58,77,49,32,59,32,49,66,28
73,3,3,66,59,76,78,78,71,72,42,68,39,75,73,68,64,62,63,76,79,56,59,70,77,61,38,38,60,35,58,39
73,3,4,73,74,42,43,52,56,74,70,56,74,71,69,73,66,76,75,81,53,78,76,70,62,65,61,62,72,65,63,66
72,3,3,73,76,37,35,33,75,67,72,40,69,69,75,67,63,77,79,64,84,68,74,60,61,79,66,75,74,73,70,68
72,3,1,14,12,12,15,12,21,68,8,17,34,35,13,24,23,42,43,33,43,55,48,74,11,20,13,12,15,12,22,12
71,2,2,71,74,65,68,67,68,68,65,65,63,60,64,65,55,87,89,76,82,80,79,77,62,74,56,53,62,34,68,64
71,3,3,69,71,32,28,35,68,69,72,22,61,67,64,63,41,80,76,71,61,79,76,72,68,70,73,62,43,58,68,66
68,3,3,71,75,24,22,23,32,47,57,32,63,48,64,62,56,85,86,61,56,76,85,56,32,65,65,64,62,69,53,59
66,2,2,62,67,67,67,66,70,66,49,55,47,57,65,63,51,77,75,67,68,64,72,76,61,45,35,31,54,35,43,32
62,3,2,61,54,24,23,24,58,50,60,20,41,52,54,57,53,74,70,44,65,59,68,73,63,58,63,59,42,37,57,61
62,4,2,55,54,27,25,31,47,66,69,37,40,64,49,53,43,85,84,59,60,82,80,67,51,56,62,54,50,47,58,51
59,3,2,63,56,45,46,47,45,53,42,53,61,48,41,64,64,69,73,57,65,71,78,60,49,56,44,51,48,46,47,33
57,3,3,58,60,18,23,24,36,43,45,27,48,49,53,52,50,78,79,53,65,59,70,54,40,61,51,50,50,55,49,48
57,3,2,46,41,56,58,59,53,49,37,55,34,51,40,37,34,62,63,58,64,56,57,71,60,56,29,42,44,38,48,28
85,4,3,79,76,27,30,30,72,77,85,27,70,84,68,71,68,81,89,80,93,48,62,71,83,88,87,76,64,66,80,76
83,4,2,69,57,81,80,85,83,81,28,83,53,80,32,72,74,68,72,73,86,59,58,86,79,64,37,40,34,23,45,34
83,3,3,79,78,81,82,82,74,80,75,80,76,81,88,81,74,76,75,86,69,85,75,72,74,84,70,75,81,82,90,63
82,3,2,79,75,78,82,84,80,81,67,85,72,80,60,80,76,80,77,88,76,83,75,85,69,80,50,67,33,43,54,32
82,3,3,77,78,83,84,84,78,81,76,77,70,76,81,77,70,79,79,90,73,74,77,72,67,75,65,68,42,35,60,64
82,3,2,79,75,76,80,82,84,81,67,84,73,81,65,83,79,69,66,90,77,71,73,72,71,71,64,56,68,61,56,56
82,4,4,85,84,40,53,55,58,76,80,35,67,74,82,80,77,87,86,76,61,74,83,73,64,77,78,76,77,76,75,76
81,5,3,86,85,56,52,60,73,77,71,45,81,80,65,84,78,80,80,74,79,59,70,63,65,80,70,79,68,70,65,61
81,4,3,77,78,81,78,79,79,75,63,79,72,77,68,82,81,75,69,91,78,71,66,66,63,67,57,65,64,64,60,61
80,3,2,62,49,81,81,84,79,74,51,81,39,78,55,71,66,60,64,74,83,64,51,83,79,69,30,54,55,31,68,44
80,3,2,76,68,79,80,80,80,78,58,82,74,81,80,83,74,32,34,79,77,63,52,70,74,77,56,71,78,78,72,65
78,4,5,83,87,27,17,34,76,74,69,31,63,69,75,71,67,89,89,80,82,76,84,60,51,81,64,71,62,49,65,51
78,3,3,81,84,40,37,37,57,74,71,42,73,80,78,76,54,87,86,81,59,92,93,71,28,64,69,57,63,55,62,68
77,3,2,69,63,75,76,78,83,71,49,73,47,46,73,67,55,69,75,75,79,61,66,78,80,69,40,59,49,58,52,25
76,3,3,72,75,37,42,40,50,72,73,42,62,75,70,68,63,86,85,85,68,74,76,90,74,84,75,74,71,65,70,61
